Water body name,Water body description,Water body type,Year added to List,Basin,AUID,Use Class,County,HUC 8,Watershed name,Partial tribal designation,Affected designated use,Pollutant or stressor,TMDL target completion year,EPA category,Mercury TMDL region,Year TMDL plan approved,TMDL ID,AUID previously listed,Changes since last List
Eighteenmile Creek,Unnamed cr to Mustinka R,Stream,2014,Red River of the North,09020102-508,"2Bg, 3C",Traverse,09020102,Mustinka River,,Aquatic Life,Benthic macroinvertebrates bioassessments,,4A,,2017,PRJ07606-001,,TMDL plan approved; EPA category changed from 5 to 4A
Eighteenmile Creek,Unnamed cr to Mustinka R,Stream,2014,Red River of the North,09020102-508,"2Bg, 3C",Traverse,09020102,Mustinka River,,Aquatic Life,Dissolved oxygen,,4A,,2017,PRJ07606-001,,
Eighteenmile Creek,Unnamed cr to Mustinka R,Stream,2014,Red River of the North,09020102-508,"2Bg, 3C",Traverse,09020102,Mustinka River,,Aquatic Life,Fish bioassessments,,4A,,2017,PRJ07606-001,,TMDL plan approved; EPA category changed from 5 to 4A
Felton Creek/County Ditch 45,"200th St to T141 R46W S14, west line",Stream,2018,Red River of the North,09020108-654,"1B, 2Ag, 3B",Clay,09020108,Wild Rice River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2028,5,,,,,
Felton Creek/County Ditch 45,"200th St to T141 R46W S14, west line",Stream,2018,Red River of the North,09020108-654,"1B, 2Ag, 3B",Clay,09020108,Wild Rice River,,Aquatic Life,Fish bioassessments,2028,5,,,,,
Fish,Lake or Reservoir,Lake,2006,Red River of the North,56-0684-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,2033,5,SW,,,,
Fish,Lake or Reservoir,Lake,2020,Red River of the North,56-0684-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Life,Fish bioassessments,2020,5,,,,,
Fivemile Creek,"T127 R45W S24, east line to Mustinka River Ditch",Stream,2014,Red River of the North,09020102-510,"2Bg, 3C",Traverse,09020102,Mustinka River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2017,PRJ07606-001,,
Floyd (south bay),Lake or Reservoir,Lake,2002,Red River of the North,03-0387-02,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Forget-Me-Not,Lake or Reservoir,Lake,2012,Red River of the North,03-0624-00,"2B, 3C",Becker,09020106,Buffalo River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ06904-001,,
Franklin,Lake or Reservoir,Lake,2010,Red River of the North,56-0759-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,2023,5,SW,,,,
Garden Slough,Headwaters to Mashaug Cr,Stream,2018,Red River of the North,09020108-579,"2Bg, 3C",Norman,09020108,Wild Rice River,,Aquatic Life,Fish bioassessments,2028,5,,,,,
Gentilly River,CD 140 to Red Lake R,Stream,2016,Red River of the North,09020303-554,"2Bg, 3C",Polk,09020303,Red Lake River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2026,5,,,,,
Gentilly River,CD 140 to Red Lake R,Stream,2016,Red River of the North,09020303-554,"2Bg, 3C",Polk,09020303,Red Lake River,,Aquatic Life,Fish bioassessments,2026,5,,,,,
Gentilly River,CD 140 to Red Lake R,Stream,2016,Red River of the North,09020303-554,"2Bg, 3C",Polk,09020303,Red Lake River,,Aquatic Recreation,Escherichia coli (E.coli),2026,5,,,,,
Gottenberg,Lake or Reservoir,Lake,2012,Red River of the North,03-0528-00,"2B, 3C",Becker,09020106,Buffalo River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ06904-001,,
Gourd,Lake or Reservoir,Lake,2012,Red River of the North,03-0635-00,"2B, 3C",Becker,09020106,Buffalo River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ06904-001,,
Grand Marais Creek,Headwaters to CD 2,Stream,2006,Red River of the North,09020306-507,"2Bg, 3C",Polk,09020306,Red River of the North - Grand Marais Creek,,Aquatic Life,Dissolved oxygen,2026,5,,,,,
Grand Marais Cutoff Channel,Grand Marais Cr to Red R,Stream,2016,Red River of the North,09020306-522,"2Bg, 3C",Polk,09020306,Red River of the North - Grand Marais Creek,,Aquatic Life,Chlorpyrifos,2026,5,,,,,
Grandrud,Lake or Reservoir,Lake,2020,Red River of the North,56-0907-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Recreation,Nutrients,2020,5,,,,,
Hay Creek,Spring Cr to Stony Cr,Stream,2020,Red River of the North,09020106-520,"2Bg, 3C",Clay,09020106,Buffalo River,,Aquatic Life,Total suspended solids (TSS),2023,5,,,,,
Hay Creek,Spring Cr to Stony Cr,Stream,2012,Red River of the North,09020106-520,"2Bg, 3C",Clay,09020106,Buffalo River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2017,PRJ06904-001,,
Hay Creek,"T138 R46W S22, north line to Spring Cr",Stream,2020,Red River of the North,09020106-609,"2Bg, 3C",Clay,09020106,Buffalo River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Hay Creek,"T138 R46W S22, north line to Spring Cr",Stream,2020,Red River of the North,09020106-609,"2Bg, 3C",Clay,09020106,Buffalo River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Hay Creek,"T138 R46W S22, north line to Spring Cr",Stream,2012,Red River of the North,09020106-609,"2Bg, 3C",Clay,09020106,Buffalo River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2017,PRJ06904-001,09020106-519,Carry forward impairment from 09020106-519
Hay Creek,-96.11 46.864 to -96.12 46.902,Stream,2020,Red River of the North,09020106-621,"2Bg, 3C",,09020106,Buffalo River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Hay Creek,-96.12 46.902 to Stinking Lk,Stream,2012,Red River of the North,09020106-622,"2Bg, 3C",,09020106,Buffalo River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2017,PRJ06904-001,09020106-511,Carry forward impairment from 09020106-511
Hay Creek,Headwaters (Dark Lk 04-0167-00) to Lower Red Lk,Stream,2018,Red River of the North,09020302-518,"2Bg, 3C",Beltrami,09020302,Upper/Lower Red Lake,Red Lake,Aquatic Recreation,Escherichia coli (E.coli),2028,5,,,,,
Hay Creek,Headwaters to Roseau R,Stream,2018,Red River of the North,09020314-505,"2Bg, 3C",Roseau,09020314,Roseau River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2029,5,,,,,
Hay Creek,Headwaters to Roseau R,Stream,2018,Red River of the North,09020314-505,"2Bg, 3C",Roseau,09020314,Roseau River,,Aquatic Life,Fish bioassessments,2029,5,,,,,
Hay Creek,Headwaters to Roseau R,Stream,2018,Red River of the North,09020314-505,"2Bg, 3C",Roseau,09020314,Roseau River,,Aquatic Life,Total suspended solids (TSS),2029,5,,,,,
Hay Creek,Headwaters to Roseau R,Stream,2018,Red River of the North,09020314-505,"2Bg, 3C",Roseau,09020314,Roseau River,,Aquatic Recreation,Escherichia coli (E.coli),2029,5,,,,,
Hayes,Lake or Reservoir,Lake,1998,Red River of the North,68-0004-00,"2B, 3C",Roseau,09020314,Roseau River,,Aquatic Consumption,Mercury in fish tissue,,4A,NE,2007,PRJ07770-001,,
Height of Land,Lake or Reservoir,Lake,2012,Red River of the North,03-0195-00,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,,4A,NE,2013,PRJ07770-001,,
Height of Land,Lake or Reservoir,Lake,2010,Red River of the North,03-0195-00,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Recreation,Nutrients,2020,5,,,,,
Hill River,Hill River Lk to Lost R,Stream,2018,Red River of the North,09020305-539,"2Bg, 3C",Red Lake,09020305,Clearwater River,,Aquatic Life,Fish bioassessments,2028,5,,,,,
Hill River,Hill River Lk to Lost R,Stream,2018,Red River of the North,09020305-539,"2Bg, 3C",Red Lake,09020305,Clearwater River,,Aquatic Recreation,Escherichia coli (E.coli),2028,5,,,,,
Hill River,Unnamed cr to Hill River Lk,Stream,2018,Red River of the North,09020305-656,"2Bg, 3C",Polk,09020305,Clearwater River,,Aquatic Life,Dissolved oxygen,2028,5,,,,,
Hill River,Unnamed cr to Hill River Lk,Stream,2018,Red River of the North,09020305-656,"2Bg, 3C",Polk,09020305,Clearwater River,,Aquatic Life,Fish bioassessments,2028,5,,,,,
Hovland,Lake or Reservoir,Lake,2020,Red River of the North,56-1014-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Recreation,Nutrients,2020,5,,,,,
Ida,Lake or Reservoir,Lake,1998,Red River of the North,03-0582-00,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2008,PRJ07770-001,,
Island,Lake or Reservoir,Lake,2010,Red River of the North,03-0153-00,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,,4A,NE,2010,PRJ07770-001,,
Jacobs,Lake or Reservoir,Lake,2012,Red River of the North,56-1039-00,"2B, 3C",Otter Tail,09020106,Buffalo River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ06904-001,,
Jewett,Lake or Reservoir,Lake,2006,Red River of the North,56-0877-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2008,PRJ07770-001,,
Jewett,Lake or Reservoir,Lake,2020,Red River of the North,56-0877-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Life,Fish bioassessments,2020,5,,,,,
Joe River,Salt Coulee to MN/Canada border,Stream,2006,Red River of the North,09020311-513,"2Bg, 3C",Kittson,09020311,Red River of the North - Tamarack River,,Aquatic Life,Chloride,2027,5,,,,,
Joe River,Salt Coulee to MN/Canada border,Stream,2006,Red River of the North,09020311-513,"2Bg, 3C",Kittson,09020311,Red River of the North - Tamarack River,,Aquatic Life,pH,2027,5,,,,,
Johnson,Lake or Reservoir,Lake,2020,Red River of the North,56-0979-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Recreation,Nutrients,2020,5,,,,,
Judicial Ditch 1,County Ditch 7 to Red R,Stream,2016,Red River of the North,09020306-519,"2Bg, 3C",Polk,09020306,Red River of the North - Grand Marais Creek,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2019,PRJ07615-001,,TMDL plan approved; EPA category changed from 5 to 4A
Judicial Ditch 10,Unnamed cr to CD 16,Stream,2020,Red River of the North,09020311-521,"2Bg, 3C",Kittson,09020311,Red River of the North - Tamarack River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2027,5,,,,,
Judicial Ditch 10,Unnamed cr to CD 16,Stream,2020,Red River of the North,09020311-521,"2Bg, 3C",Kittson,09020311,Red River of the North - Tamarack River,,Aquatic Life,Fish bioassessments,2027,5,,,,,
Judicial Ditch 10,Unnamed ditch to CD 19,Stream,2020,Red River of the North,09020311-524,"2Bg, 3C",Kittson,09020311,Red River of the North - Tamarack River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2027,5,,,,,
Judicial Ditch 10,Unnamed ditch to CD 19,Stream,2020,Red River of the North,09020311-524,"2Bg, 3C",Kittson,09020311,Red River of the North - Tamarack River,,Aquatic Life,Fish bioassessments,2027,5,,,,,
Judicial Ditch 19,US 59 to Tamarac R,Stream,2020,Red River of the North,09020311-568,"2Bg, 3C",Marshall,09020311,Red River of the North - Tamarack River,,Aquatic Life,Fish bioassessments,2027,5,,,,,
Judicial Ditch 19,US 59 to Tamarac R,Stream,2012,Red River of the North,09020311-568,"2Bg, 3C",Marshall,09020311,Red River of the North - Tamarack River,,Aquatic Recreation,Escherichia coli (E.coli),2027,5,,,,09020311-516,Carry forward impairment from 09020311-516
Judicial Ditch 2,Unnamed ditch to Unnamed ditch,Stream,2020,Red River of the North,09020101-559,"2Bg, 3C",,09020101,Bois de Sioux River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2024,5,,,,,
Judicial Ditch 2,Unnamed ditch to Unnamed ditch,Stream,2020,Red River of the North,09020101-559,"2Bg, 3C",,09020101,Bois de Sioux River,,Aquatic Life,Fish bioassessments,2024,5,,,,,
Judicial Ditch 2,Unnamed ditch to Unnamed ditch,Stream,2020,Red River of the North,09020101-559,"2Bg, 3C",,09020101,Bois de Sioux River,,Aquatic Life,Total suspended solids (TSS),2024,5,,,,,
Judicial Ditch 2,Unnamed ditch along 190th St to Otter Tail R,Stream,2020,Red River of the North,09020103-764,"2Bg, 3C",Wilkin,09020103,Otter Tail River,,Aquatic Life,Dissolved oxygen,2020,5,,,,,
Judicial Ditch 2,Unnamed ditch along 190th St to Otter Tail R,Stream,2020,Red River of the North,09020103-764,"2Bg, 3C",Wilkin,09020103,Otter Tail River,,Aquatic Life,Fish bioassessments,2020,5,,,,,
Judicial Ditch 2,Unnamed ditch along 190th St to Otter Tail R,Stream,2020,Red River of the North,09020103-764,"2Bg, 3C",Wilkin,09020103,Otter Tail River,,Aquatic Recreation,Escherichia coli (E.coli),2020,5,,,,,
Judicial Ditch 29,Headwaters to Snake R,Stream,2016,Red River of the North,09020309-519,"2Bg, 3C",Marshall,09020309,Snake River - Red River Basin,,Aquatic Life,Fish bioassessments,2027,5,,,,,
Judicial Ditch 31,Unnamed cr to N BR Two R,Stream,2016,Red River of the North,09020312-549,"2Bg, 3C",Kittson,09020312,Two Rivers,,Aquatic Life,Fish bioassessments,2027,5,,,,,
Judicial Ditch 4,Headwaters to Twelvemile Cr,Stream,2020,Red River of the North,09020102-512,"2Bg, 3C",Big Stone,09020102,Mustinka River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2024,5,,,,,
Judicial Ditch 60,Lateral Ditch 4 to Red Lake R,Stream,2016,Red River of the North,09020303-542,"2Bg, 3C",Polk,09020303,Red Lake River,,Aquatic Life,Dissolved oxygen,2026,5,,,,,
Judicial Ditch 73,Unnamed ditch to Tamarack Lk,Stream,2018,Red River of the North,09020305-550,"2Bg, 3C",Polk,09020305,Clearwater River,,Aquatic Life,Dissolved oxygen,2028,5,,,,,
Judicial Ditch 73,Unnamed ditch to Tamarack Lk,Stream,2018,Red River of the North,09020305-550,"2Bg, 3C",Polk,09020305,Clearwater River,,Aquatic Recreation,Escherichia coli (E.coli),2028,5,,,,,
Judicial Ditch 75,County Ditch 7 to Red R,Stream,2016,Red River of the North,09020306-520,"2Bm, 3C",Polk,09020306,Red River of the North - Grand Marais Creek,,Aquatic Life,Fish bioassessments,2026,5,,,,,
Judicial Ditch 75,County Ditch 7 to Red R,Stream,2016,Red River of the North,09020306-520,"2Bm, 3C",Polk,09020306,Red River of the North - Grand Marais Creek,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2019,PRJ07615-001,,TMDL plan approved; EPA category changed from 5 to 4A
Julia,Lake or Reservoir,Lake,1998,Red River of the North,04-0166-00,"2B, 3C",Beltrami,09020302,Upper/Lower Red Lake,,Aquatic Consumption,Mercury in fish tissue,,4A,NE,2007,PRJ07770-001,,
Kittleson,Lake or Reservoir,Lake,2014,Red River of the North,60-0327-00,"2B, 3C",Polk,09020301,Red River of the North - Sandhill River,,Aquatic Recreation,Nutrients,,4A,,2017,67980,,
Kripple Creek,Unnamed cr to Gentilly R,Stream,2016,Red River of the North,09020303-525,"2Bg, 3C",Polk,09020303,Red Lake River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2026,5,,,,,
Kripple Creek,Unnamed cr to Gentilly R,Stream,2016,Red River of the North,09020303-525,"2Bg, 3C",Polk,09020303,Red Lake River,,Aquatic Life,Fish bioassessments,2026,5,,,,,
Kripple Creek,Unnamed cr to Gentilly R,Stream,2016,Red River of the North,09020303-525,"2Bg, 3C",Polk,09020303,Red Lake River,,Aquatic Recreation,Escherichia coli (E.coli),2026,5,,,,,
Kripple Creek (County Ditch 66),Unnamed ditch to Unnamed cr,Stream,2016,Red River of the North,09020303-526,"2Bg, 3C",Red Lake,09020303,Red Lake River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2026,5,,,,,
Kripple Creek (County Ditch 66),Unnamed ditch to Unnamed cr,Stream,2016,Red River of the North,09020303-526,"2Bg, 3C",Red Lake,09020303,Red Lake River,,Aquatic Life,Fish bioassessments,2026,5,,,,,
Lannon,Lake or Reservoir,Lake,2014,Red River of the North,06-0139-00,"2B, 3C",Big Stone,09020102,Mustinka River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ07606-001,,
Lateral Ditch 1 of State Ditch 95,Unnamed ditch to State Ditch 95,Stream,2016,Red River of the North,09020312-521,"2Bg, 3C",Kittson,09020312,Two Rivers,,Aquatic Life,Benthic macroinvertebrates bioassessments,2027,5,,,,,
Lateral Ditch 1 of State Ditch 95,Unnamed ditch to State Ditch 95,Stream,2016,Red River of the North,09020312-521,"2Bg, 3C",Kittson,09020312,Two Rivers,,Aquatic Life,Fish bioassessments,2027,5,,,,,
Lateral Ditch 1 of State Ditch 95,Unnamed ditch to State Ditch 50,Stream,2016,Red River of the North,09020312-539,"2Bm, 3C",Roseau,09020312,Two Rivers,,Aquatic Life,Benthic macroinvertebrates bioassessments,2027,5,,,,,
Lateral Ditch 1 of State Ditch 95,Unnamed ditch to State Ditch 50,Stream,2016,Red River of the North,09020312-539,"2Bm, 3C",Roseau,09020312,Two Rivers,,Aquatic Life,Fish bioassessments,2027,5,,,,,
Lee,Lake or Reservoir,Lake,2012,Red River of the North,14-0049-00,"2B, 3C",Clay,09020106,Buffalo River,,Aquatic Recreation,Nutrients,2023,5,,,,,
Leek,Lake or Reservoir,Lake,2016,Red River of the North,56-0532-02,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2018,PRJ07770-001,,
Leif,Lake or Reservoir,Lake,2010,Red River of the North,03-0575-00,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,2023,5,SW,,,,
Lightning,Lake or Reservoir,Lake,2014,Red River of the North,26-0282-00,"2B, 3C",Grant,09020102,Mustinka River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ07606-001,,
Lime,Lake or Reservoir,Lake,2012,Red River of the North,03-0646-00,"2B, 3C",Becker,09020106,Buffalo River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ06904-001,,
Little Black River,Unnamed ditch (channelized portion) to Black R,Stream,2016,Red River of the North,09020303-528,"2Bg, 3C",Red Lake,09020303,Red Lake River,,Aquatic Life,Fish bioassessments,2026,5,,,,,
Little Cormorant,Lake or Reservoir,Lake,2020,Red River of the North,03-0506-00,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,,PRJ07770-001,,
Little Cormorant,Lake or Reservoir,Lake,2020,Red River of the North,03-0506-00,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Life,Fish bioassessments,2020,5,,,,,
Little Floyd,Lake or Reservoir,Lake,1998,Red River of the North,03-0386-00,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,2033,5,SW,,,,
Little McDonald,Lake or Reservoir,Lake,1998,Red River of the North,56-0328-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Little McDonald,Lake or Reservoir,Lake,2020,Red River of the North,56-0328-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Life,Fish bioassessments,2020,5,,,,,
Little Pine,Lake or Reservoir,Lake,2002,Red River of the North,56-0142-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2008,PRJ07770-001,,
Lizzie (north portion),Lake or Reservoir,Lake,1998,Red River of the North,56-0760-01,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,2033,5,SW,,,,
Lomond,Lake or Reservoir,Lake,1998,Red River of the North,15-0081-00,"2B, 3C",Clearwater,09020305,Clearwater River,,Aquatic Consumption,Mercury in fish tissue,,4A,NE,2008,PRJ07770-001,,
Long,Lake or Reservoir,Lake,2018,Red River of the North,04-0295-00,"2B, 3C",Beltrami,09020305,Clearwater River,,Aquatic Recreation,Nutrients,2028,5,,,,,
Long,Lake or Reservoir,Lake,2020,Red River of the North,56-0210-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Recreation,Nutrients,2020,5,,,,,
Long,Lake or Reservoir,Lake,2010,Red River of the North,56-0784-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,2023,5,SW,,,,
Long (main lake),Lake or Reservoir,Lake,2002,Red River of the North,56-0388-02,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,56-0388-00,Carry forward impairment from 56-0388-00
Lost River,Unnamed cr to Tamarac R,Stream,2018,Red River of the North,09020302-602,"2Bg, 3C",Koochiching,09020302,Upper/Lower Red Lake,,Aquatic Life,Fish bioassessments,2028,5,,,,,
Lost River,Pine Lk to Anderson Lk,Stream,2018,Red River of the North,09020305-512,"2Bg, 3C",Clearwater,09020305,Clearwater River,,Aquatic Recreation,Escherichia coli (E.coli),2028,5,,,,,
Lost River,"T148 R38W S17, south line to Pine Lk",Stream,2006,Red River of the North,09020305-529,"2Bg, 3C",Clearwater,09020305,Clearwater River,,Aquatic Life,Dissolved oxygen,2028,5,,,,,
Lost River,"T148 R38W S17, south line to Pine Lk",Stream,2018,Red River of the North,09020305-529,"2Bg, 3C",Clearwater,09020305,Clearwater River,,Aquatic Recreation,Escherichia coli (E.coli),2028,5,,,,,
Lost River,"Unnamed cr to T148 R38W S20, north line",Stream,2018,Red River of the North,09020305-530,"1B, 2Ag, 3B",Clearwater,09020305,Clearwater River,,Aquatic Recreation,Escherichia coli (E.coli),2028,5,,,,,
Lost River,Anderson Lk to Unnamed cr,Stream,2018,Red River of the North,09020305-645,"2Bg, 3C",Clearwater,09020305,Clearwater River,,Aquatic Life,Dissolved oxygen,2028,5,,,,,
Lost River,Anderson Lk to Unnamed cr,Stream,2018,Red River of the North,09020305-645,"2Bg, 3C",Clearwater,09020305,Clearwater River,,Aquatic Life,Fish bioassessments,2028,5,,,,,
Lower Badger Creek,CD 14 to Clearwater R,Stream,2018,Red River of the North,09020305-502,"2Bg, 3C",Red Lake,09020305,Clearwater River,,Aquatic Recreation,Escherichia coli (E.coli),2028,5,,,,,
Maple,Lake or Reservoir,Lake,1998,Red River of the North,60-0305-00,"2B, 3C",Polk,09020305,Clearwater River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2008,PRJ07770-001,,
Maria,Lake or Reservoir,Lake,2012,Red River of the North,14-0099-00,"2B, 3C",Clay,09020106,Buffalo River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ06904-001,,
Marion,Lake or Reservoir,Lake,2006,Red River of the North,56-0243-00,"2B, 3C",Otter Tail,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Marsh Creek,-95.9973 47.4054 to Wild Rice R,Stream,2008,Red River of the North,09020108-652,"2Bg, 3C",Norman,09020108,Wild Rice River,White Earth,Aquatic Life,Turbidity,2028,5,,,,,
Marsh River,Headwaters to Red R,Stream,2016,Red River of the North,09020107-503,"2Bg, 3C",Norman,09020107,Red River of the North - Marsh River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2018,PRJ07770-001,,
Marsh River,Headwaters to Red R,Stream,2018,Red River of the North,09020107-503,"2Bg, 3C",Norman,09020107,Red River of the North - Marsh River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2028,5,,,,,
Marsh River,Headwaters to Red R,Stream,2010,Red River of the North,09020107-503,"2Bg, 3C",Norman,09020107,Red River of the North - Marsh River,,Aquatic Life,Dissolved oxygen,2028,5,,,,,
Marsh River,Headwaters to Red R,Stream,2018,Red River of the North,09020107-503,"2Bg, 3C",Norman,09020107,Red River of the North - Marsh River,,Aquatic Life,Fish bioassessments,2028,5,,,,,
Marsh River,Headwaters to Red R,Stream,2008,Red River of the North,09020107-503,"2Bg, 3C",Norman,09020107,Red River of the North - Marsh River,,Aquatic Life,Turbidity,2028,5,,,,,
Marsh River,Headwaters to Red R,Stream,2018,Red River of the North,09020107-503,"2Bg, 3C",Norman,09020107,Red River of the North - Marsh River,,Aquatic Recreation,Escherichia coli (E.coli),2028,5,,,,,
Marshall,Lake or Reservoir,Lake,2012,Red River of the North,03-0526-00,"2B, 3C",Becker,09020106,Buffalo River,,Aquatic Recreation,Nutrients,,4A,,2017,PRJ06904-001,,
Mashaug Creek,T-92 to Wild Rice R,Stream,2018,Red River of the North,09020108-650,"2Bg, 3C",Norman,09020108,Wild Rice River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2028,5,,,,,
Mashaug Creek,T-92 to Wild Rice R,Stream,2018,Red River of the North,09020108-650,"2Bg, 3C",Norman,09020108,Wild Rice River,,Aquatic Life,Fish bioassessments,2028,5,,,,,
Mashaug Creek,T-92 to Wild Rice R,Stream,2018,Red River of the North,09020108-650,"2Bg, 3C",Norman,09020108,Wild Rice River,,Aquatic Recreation,Escherichia coli (E.coli),2028,5,,,,,
Maud,Lake or Reservoir,Lake,2012,Red River of the North,03-0500-00,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,2025,5,SW,,,,
Melissa,Lake or Reservoir,Lake,2008,Red River of the North,03-0475-00,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Consumption,Mercury in fish tissue,2021,5,SW,,,,
Middle Cormorant,Lake or Reservoir,Lake,2020,Red River of the North,03-0602-00,"2B, 3C",Becker,09020103,Otter Tail River,,Aquatic Life,Fish bioassessments,2020,5,,,,,
Middle River,Headwaters to -96.171 48.4349,Stream,2016,Red River of the North,09020309-538,"2Bm, 3C",Marshall,09020309,Snake River - Red River Basin,,Aquatic Life,Fish bioassessments,2027,5,,,,,
Middle River,-96.171 48.4349 to Co Rd 114 bridge,Stream,2008,Red River of the North,09020309-539,"2Bg, 3C",Marshall,09020309,Snake River - Red River Basin,,Aquatic Life,Dissolved oxygen,2027,5,,,,,
Middle River,"Co Rd 114 to T156 R49W S3, north line",Stream,2016,Red River of the North,09020309-540,"2Bg, 3C",Marshall,09020309,Snake River - Red River Basin,,Aquatic Life,Benthic macroinvertebrates bioassessments,2027,5,,,,,
Middle River,"Co Rd 114 to T156 R49W S3, north line",Stream,2008,Red River of the North,09020309-540,"2Bg, 3C",Marshall,09020309,Snake River - Red River Basin,,Aquatic Life,Dissolved oxygen,2027,5,,,,,
Middle River,"Co Rd 114 to T156 R49W S3, north line",Stream,2008,Red River of the North,09020309-540,"2Bg, 3C",Marshall,09020309,Snake River - Red River Basin,,Aquatic Life,Turbidity,2027,5,,,,,
Middle River,"T157 R49W S34, south line to Snake R",Stream,2008,Red River of the North,09020309-541,"2Bm, 3C",Marshall,09020309,Snake River - Red River Basin,,Aquatic Life,Dissolved oxygen,2027,5,,,,,
Middle River,"T157 R49W S34, south line to Snake R",Stream,2008,Red River of the North,09020309-541,"2Bm, 3C",Marshall,09020309,Snake River - Red River Basin,,Aquatic Life,Turbidity,2027,5,,,,,
Minerva,Lake or Reservoir,Lake,1998,Red River of the North,15-0079-00,"2B, 3C",Clearwater,09020108,Wild Rice River,,Aquatic Consumption,Mercury in fish tissue,,4A,NE,2008,PRJ07770-001,,
Moose River,"Headwaters to T157 R38W S1, west line",Stream,2020,Red River of the North,09020304-565,"2Bg, 3C",Beltrami,09020304,Thief River,,Aquatic Life,Fish bioassessments,2025,5,,,,,
